Prestador;Sigla do Prestador;Natureza jurídica;Natureza jurídica_b;Natureza jurídica_c
Prefeitura Municipal de Morrinhos do Sul;PMMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Morro Agudo;PMMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Morro do Chapéu do Piauí;PMMCP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Morro do Pilar;PMMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Morro Grande;PMMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mossâmedes;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Motuca;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Mucugê;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Muliterno;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Munhoz;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Muqui;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Murici dos Portelas;PMMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Murutinga do Sul;PMMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Muzambinho;PMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nantes;PMN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Natividade;PMN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Natividade da Serra;PMNS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Navegantes;SESAN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nazareno;PMN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Neves Paulista;PMNP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nicolau Vergueiro;PMNV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nilo Peçanha;PMNP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nortelândia;PMN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nossa Senhora das Graças;PMNSG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nossa Senhora do Livramento;PMNSL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Aliança;PMNA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Alvorada;PMNA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Bandeirantes;PMNB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Boa Vista;PMNBV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Canaã;PMNC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Candelária;PMNC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Colinas;PMNC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Europa;PMNE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Hartz;MNH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Independência;PMNI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Ipixuna;PMNI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Itaberaba;PMNI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Lacerda;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Marilândia;DEMAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Maringá;PMNM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Nazaré;PMNN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Olímpia;PMNO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Olinda do Norte;PMNON;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Pádua;PMNP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Ponte;DMAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Ramada;PMNR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Santa Helena;PMNSH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nova Serrana;PMNS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Novais;PMN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Novo Airão;PMNA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Novo Cabrais;PMNC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Novo Horizonte;PMNH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Novo Horizonte do Norte;PMNHN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Novo Lino;PMNL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Novo Repartimento;PMNR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Novo Tiradentes;PMNT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Novo Triunfo;PMNT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Novo Xingu;PMNX;Administração pública direta;Pública;Pública
Prefeitura Municipal de Nuporanga;PMN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ocauçu;PMO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Olaria;PMO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Olho D'Água;PMOD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Olho D'Água do Borges;PMOAB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Olímpio Noronha;PMON;Administração pública direta;Pública;Pública
Prefeitura Municipal de Olivedos;PMO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Onça de Pitangui;PMOT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Oriximiná;PMO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Orlândia;PMO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Orobó;PMO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ourilândia do Norte;PMON;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ouro Verde;PMOV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pacaembu;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pacaraima;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Padre Paraíso;PMPP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Paial;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Palhoça;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Panamá;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Panorama;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Papagaios;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Paracambi;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Paraíso;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Paraíso do Sul;PMPS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Paranaiguara;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Paranaíta;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pareci Novo;PMPN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Parisi;DAEP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Passa e Fica;PMPeF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Passa Quatro;PMPQ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Passa Tempo;PMPT;Administração pública direta;Pública;Pública
Prefeitura Municipal de Passa-Vinte;PMPV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Passo do Sobrado;PMPS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pato Bragado;PMPB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Patrocínio do Muriaé;PMPM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Patrocínio Paulista;PMPP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Paulo Bento;PMPB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pedra Bonita;PMPB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pedra Branca;PMPB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pedra Dourada;PMPD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pedra Lavrada;PMPL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pedrão;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pedro Afonso;PMPA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pentecoste;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pequi;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Perdigão;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Periquito;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pescador;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Piau;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Picada Café;PMPC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pindorama;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pingo-D'Água;PMPA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pinhal;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pinhal da Serra;PMPS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pinhal Grande;PMPG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pinheiral;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pinheiro Machado;PMPM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pinheiro Preto;PMPP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pintadas;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Piracema;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pirangi;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Piranguçu;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Piranguinho;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pirapó;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Piraúba;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pitangueiras;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pitangui;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Planura;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Poção;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pocinhos;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Poço das Antas;PMPA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Poço Fundo;PMPF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pocrane;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pompeu;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pontal;DAE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pontão;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ponte Branca;PMPB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ponte Preta;PMPP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ponte Serrada;PMPS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Porciuncula;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Porto Barreiro;PMPB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Porto Calvo;PMPC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Porto dos Gaúchos;PMPC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Porto Firme;PMPF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Porto Mauá;PMPA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Porto Real;PMPR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Porto Vera Cruz;PMPVC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Potim;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Potirendaba;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pradópolis;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Prata;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pratápolis;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Pratinha;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Presidente Juscelino;PMPJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Presidente Kubitschek;PMPK;Administração pública direta;Pública;Pública
Prefeitura Municipal de Presidente Lucena;PMPL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Presidente Venceslau;PMPV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Princesa;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Progresso;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Protásio Alves;PMP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Quatis;PMQ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Quatro Irmãos;PMQI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Quatro Pontes;PMQP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Queluzito;PMQ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Querência;PMQD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Quevedos;PMQ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Quinze de Novembro;PMQN;Administração pública direta;Pública;Pública
Prefeitura Municipal de Quixabá;PMQ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rafael Jambeiro;PMRJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rafard;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rancharia;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Reginópolis;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Relvado;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Remígio;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ressaquinha;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Riacho das Almas;PMRA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Riacho de Santo Antônio;PMRSA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ribeirão Bonito;PMRB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Ribeirão Claro;SAAE;Autarquia;Pública;Pública
Prefeitura Municipal de Ribeirãozinho;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rinópolis;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rio Bonito;PMRB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rio Branco;PMRB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rio Doce;PMRD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rio Espera;PMRE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rio Piracicaba;PMRP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rio Pomba;PMRP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rio Preto;PMRP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rio Quente;PMRQ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rio Vermelho;PMRV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rochedo de Minas;PMRM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rodeiro;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rodelas;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rolador;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rondinha;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Roque Gonzales;PMRG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rorainópolis;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rosário da Limeira;PMRL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Rosário Oeste;PMRO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Roteiro;PMR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sabino;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sagrada Família;PMSF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sairé;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sales;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sales Oliveira;PMSO;Administração pública direta;Pública;Pública
Prefeitura Municipal de Salto do Céu;PMSC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Salto do Jacuí;PMSJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Salto Grande;PMSG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Salvador das Missões;PMSM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Adélia;PMSA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Bárbara;PMSB;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Bárbara do Pará;PMSBP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Cecília do Sul;PMSCS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Clara do Sul;PMSCS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Cruz;PMSC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Cruz da Conceição;PMSCC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Cruz das Palmeiras;PMSCP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Cruz do Capibaribe;PMSCC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Cruz do Escalvado;PMSCE;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Helena;PMSH;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Inês;PMSI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Juliana;PMSJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Lúcia;PMSL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Margarida;PMSM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Maria;PMSM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Maria da Serra;PMSMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Maria de Itabira;PMSMI;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Maria Madalena;PMSMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Rita de Jacutinga;PMSRJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Rita D'Oeste;PMSRD;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Tereza;PMST;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Terezinha do Progresso;PMSTP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Vitória;PMSV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santa Vitória do Palmar;PMSVP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santana da Boa Vista;PMSBV;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santana de Catáguases;PMSC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santana de Pirapama;PMSP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santana do Garambéu;PMSG;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santana do Jacaré;PMSJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santana do Riacho;PMSR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santiago;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santiago do Sul;PMSS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santo Afonso;PMSA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santo Antônio da Alegria;PMSAA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santo Antônio de Pádua;PMSAP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santo Antônio de Posse;PMSAP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santo Antonio do Amparo;PMSAA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santo Antonio do Aracanguá;PMSAA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santo Antônio do Jacinto;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santo Antonio do Leste;PMSAL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Santo Antônio do Planalto;PMSAP;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Bento;PMSB;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Bento Abade;PMSBA;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Bento do Una;PMSBU;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Caetano;PMSC;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Domingos do Cariri;PMSDC;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Domingos do Prata;PMSDP;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Domingos do Sul;PMSDS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Félix de Minas;PMSFM;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Félix do Araguaia;PMSFA;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Fidélis;PMSF;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Francisco de Sales;PMSFS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Francisco do Glória;PMSFG;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Geraldo;PMSG;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Geraldo da Piedade;PMSGP;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Gonçalo do Gurguéia;PMSG;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Gonçalo do Rio Abaixo;PMSGRA;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Gonçalo do Sapucaí;PMSGS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João da Barra;PMSJB;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João da Lagoa;PMSJL;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João da Mata;PMSJ;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João da Varjota;PMSJV;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João do Arraial;PMSJA;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João do Cariri;PMSJC;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João do Oeste;PMSJO;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João do Oriente;PMSJO;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João do Pacuí;PMSJP;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João do Polêsine;PMSJP;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João do Rio do Peixe;PMSJRP;Administração pública direta;Pública;Pública
Prefeitura Municipal de São João do Soter;PMSJS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Joaquim da Barra;PMSJB;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José da Barra;PMSJB;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José da Bela Vista;PMSJBV;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José da Lagoa Tapada;PMSJLT;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José da Safira;PMSJS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José da Varginha;PMSJV;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José das Missões;PMSJM;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José do Barreiro;PMSJB;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José do Brejo do Cruz;PMSJBC;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José do Calçado;PMSJC;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José do Campestre;PMSJC;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José do Cedro;PMSJC;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José do Goiabal;PMSJG;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José do Hortêncio;PMSJH;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José do Sabugi;PMSJS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José do Sul;PMSJS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São José dos Ausentes;PMSJA;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Lourenço do Oeste;PMSLO;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Mamede;PMSM;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Martinho da Serra;PMSMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Mateus do Maranhão;PMSMM;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Miguel de Taipu;PMSMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Miguel do Anta;PMSMA;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Miguel do Guamá;PMSMG;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Miguel do Tapuio;PMSMT;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Paulo das Missões;PMSPM;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Pedro da União;PMSPU;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Pedro das Missões;PMSPM;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Pedro de Alcântara;PMAPA;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Pedro do Butiá;PMSPB;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Pedro do Suaçuí;PMSPS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Roque do Canaã;PMSRC;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Sebastião da Boa Vista;PMSSBV;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Sebastião do Oeste;PMSSO;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Sebastião do Rio Verde;PMSSRV;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Sebastião do Umbuzeiro;PMSSU;Autarquia;Pública;Pública
Prefeitura Municipal de São Sepé;PMSS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Simão;PMSS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Thomé das Letras;PMSTL;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Tomás de Aquino;PMSTA;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Valentim do Sul;PMSVS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Valério do Sul;PMSVS;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Vendelino;PMSV;Administração pública direta;Pública;Pública
Prefeitura Municipal de São Vicente de Minas;PMSVM;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sardoá;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Schroeder;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sebastião Laranjeiras;PMSL;Administração pública direta;Pública;Pública
Prefeitura Municipal de Seberi;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Senador Alexandre Costa;PMSAC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Senador Amaral;PMSA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Senador Cortes;PMSC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Senador José Porfírio;PMSJP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Senador Pompeu;PMSP;Administração pública direta;Pública;Pública
Prefeitura Municipal de Senador Salgado Filho;PMSSF;Administração pública direta;Pública;Pública
Prefeitura Municipal de Senhora dos Remédios;PMSR;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sericita;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Seridó;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Sério;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Seritinga;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Serra Alta;PMSA;Administração pública direta;Pública;Pública
Prefeitura Municipal de Serra Caiada;PMSC;Administração pública direta;Pública;Pública
Prefeitura Municipal de Serra do Salitre;PMSS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Serra Talhada;PMST;Administração pública direta;Pública;Pública
Prefeitura Municipal de Serrana;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Serrania;PMS;Administração pública direta;Pública;Pública
Prefeitura Municipal de Serranos;PMS;Administração pública direta;Pública;Pública
